"","Column","activity_nr","X.x","reporting_id","state_flag","estab_name","site_address","site_city","site_state","site_zip","owner_type","owner_code","adv_notice","safety_hlth","sic_code","naics_code","insp_type","insp_scope","why_no_insp","union_status","safety_manuf","safety_const","safety_marit","health_manuf","health_const","health_marit","migrant","mail_street","mail_city","mail_state","mail_zip","host_est_key","nr_in_estab","open_date","case_mod_date","close_conf_date","close_case_date","ld_dt","year","X.y","citation_id","delete_flag","standard","viol_type","issuance_date","abate_date","abate_complete","current_penalty","initial_penalty","contest_date","final_order_date","nr_instances","nr_exposed","rec","gravity","emphasis","hazcat","fta_insp_nr","fta_issuance_date","fta_penalty","fta_contest_date","fta_final_order_date","hazsub1","hazsub2","hazsub3","hazsub4","hazsub5","load_dt"
"11",68,119948990,8,950633,NA,"CALIF STATE DEPT CORRECTIONS PRISON IND. AUTHORITY","14901 SOUTH CENTRAL AVENUE","CHINO","CA",91708,"C",0,"N","H",9223,0,"H","B","","Y","","",NA,"","","",NA,"POST OFFICE BOX 1031","CHINO","CA",91710,"N088    000017014",1,"2000-11-17","2013-04-11","2001-03-23","2010-09-13","2013-04-13 04:04:35 EDT",2010,8322026,"01007","","25000007 A","O","2001-03-06","2001-04-08","X",150,150,"","",1,1,"",NA,NA,"",NA,"",NA,NA,NA,"8870","",NA,"",NA,"2013-04-13 04:04:38 EDT"
"12",69,119948990,8,950633,NA,"CALIF STATE DEPT CORRECTIONS PRISON IND. AUTHORITY","14901 SOUTH CENTRAL AVENUE","CHINO","CA",91708,"C",0,"N","H",9223,0,"H","B","","Y","","",NA,"","","",NA,"POST OFFICE BOX 1031","CHINO","CA",91710,"N088    000017014",1,"2000-11-17","2013-04-11","2001-03-23","2010-09-13","2013-04-13 04:04:35 EDT",2010,8322027,"01006","","3328 D","O","2001-03-06","2001-04-09","X",150,150,"","",1,1,"",NA,NA,"",NA,"",NA,NA,NA,"8880","",NA,"",NA,"2013-04-13 04:04:38 EDT"
"13",70,119948990,8,950633,NA,"CALIF STATE DEPT CORRECTIONS PRISON IND. AUTHORITY","14901 SOUTH CENTRAL AVENUE","CHINO","CA",91708,"C",0,"N","H",9223,0,"H","B","","Y","","",NA,"","","",NA,"POST OFFICE BOX 1031","CHINO","CA",91710,"N088    000017014",1,"2000-11-17","2013-04-11","2001-03-23","2010-09-13","2013-04-13 04:04:35 EDT",2010,8322032,"02001","","3666 A","S","2001-03-06","2001-03-16","X",4500,4500,"","",1,1,"",NA,NA,"",NA,"",NA,NA,NA,"8880","",NA,"",NA,"2013-04-13 04:04:38 EDT"
"14",71,119948990,8,950633,NA,"CALIF STATE DEPT CORRECTIONS PRISON IND. AUTHORITY","14901 SOUTH CENTRAL AVENUE","CHINO","CA",91708,"C",0,"N","H",9223,0,"H","B","","Y","","",NA,"","","",NA,"POST OFFICE BOX 1031","CHINO","CA",91710,"N088    000017014",1,"2000-11-17","2013-04-11","2001-03-23","2010-09-13","2013-04-13 04:04:35 EDT",2010,8322029,"01004","","3277 D02","O","2001-03-06","2001-04-09","X",150,150,"","",1,1,"",NA,NA,"",NA,"",NA,NA,NA,"8880","",NA,"",NA,"2013-04-13 04:04:38 EDT"
"15",72,119948990,8,950633,NA,"CALIF STATE DEPT CORRECTIONS PRISON IND. AUTHORITY","14901 SOUTH CENTRAL AVENUE","CHINO","CA",91708,"C",0,"N","H",9223,0,"H","B","","Y","","",NA,"","","",NA,"POST OFFICE BOX 1031","CHINO","CA",91710,"N088    000017014",1,"2000-11-17","2013-04-11","2001-03-23","2010-09-13","2013-04-13 04:04:35 EDT",2010,8322030,"01003","","3277 F04","O","2001-03-06","2001-04-09","X",150,150,"","",1,1,"",NA,NA,"",NA,"",NA,NA,NA,"8880","",NA,"",NA,"2013-04-13 04:04:38 EDT"
"16",73,119948990,8,950633,NA,"CALIF STATE DEPT CORRECTIONS PRISON IND. AUTHORITY","14901 SOUTH CENTRAL AVENUE","CHINO","CA",91708,"C",0,"N","H",9223,0,"H","B","","Y","","",NA,"","","",NA,"POST OFFICE BOX 1031","CHINO","CA",91710,"N088    000017014",1,"2000-11-17","2013-04-11","2001-03-23","2010-09-13","2013-04-13 04:04:35 EDT",2010,8322031,"01009","","461 C","O","2001-03-06","2001-06-09","X",300,300,"","",1,1,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,"",NA,"2013-04-13 04:04:38 EDT"
"17",74,119948990,8,950633,NA,"CALIF STATE DEPT CORRECTIONS PRISON IND. AUTHORITY","14901 SOUTH CENTRAL AVENUE","CHINO","CA",91708,"C",0,"N","H",9223,0,"H","B","","Y","","",NA,"","","",NA,"POST OFFICE BOX 1031","CHINO","CA",91710,"N088    000017014",1,"2000-11-17","2013-04-11","2001-03-23","2010-09-13","2013-04-13 04:04:35 EDT",2010,8322036,"01015","","3203 A","O","2001-03-06","2001-06-09","X",150,150,"","",7,1,"",NA,NA,"",NA,"",NA,NA,NA,"1340","8880",8870,"",NA,"2013-04-13 04:04:38 EDT"
"18",75,119948990,8,950633,NA,"CALIF STATE DEPT CORRECTIONS PRISON IND. AUTHORITY","14901 SOUTH CENTRAL AVENUE","CHINO","CA",91708,"C",0,"N","H",9223,0,"H","B","","Y","","",NA,"","","",NA,"POST OFFICE BOX 1031","CHINO","CA",91710,"N088    000017014",1,"2000-11-17","2013-04-11","2001-03-23","2010-09-13","2013-04-13 04:04:35 EDT",2010,8322033,"01018","","5194 H01","O","2001-03-06","2001-06-09","X",150,150,"","",1,1,"",NA,NA,"",NA,"",NA,NA,NA,"1340","",NA,"",NA,"2013-04-13 04:04:38 EDT"
"19",76,119948990,8,950633,NA,"CALIF STATE DEPT CORRECTIONS PRISON IND. AUTHORITY","14901 SOUTH CENTRAL AVENUE","CHINO","CA",91708,"C",0,"N","H",9223,0,"H","B","","Y","","",NA,"","","",NA,"POST OFFICE BOX 1031","CHINO","CA",91710,"N088    000017014",1,"2000-11-17","2013-04-11","2001-03-23","2010-09-13","2013-04-13 04:04:35 EDT",2010,8322034,"01017","","5194 F04    B","O","2001-03-06","2001-04-09","X",150,150,"","",1,1,"",NA,NA,"",NA,"",NA,NA,NA,"1340","",NA,"",NA,"2013-04-13 04:04:38 EDT"
"20",77,119948990,8,950633,NA,"CALIF STATE DEPT CORRECTIONS PRISON IND. AUTHORITY","14901 SOUTH CENTRAL AVENUE","CHINO","CA",91708,"C",0,"N","H",9223,0,"H","B","","Y","","",NA,"","","",NA,"POST OFFICE BOX 1031","CHINO","CA",91710,"N088    000017014",1,"2000-11-17","2013-04-11","2001-03-23","2010-09-13","2013-04-13 04:04:35 EDT",2010,8322035,"01016","","5194 E01","O","2001-03-06","2001-06-09","X",150,150,"","",18,1,"",NA,NA,"",NA,"",NA,NA,NA,"1340","",NA,"",NA,"2013-04-13 04:04:38 EDT"
"21",78,119956639,9,950633,NA,"CALIFORNIA STATE OF DEPT OF CORRECTIONS/CIM","14901 CENTRAL AVENUE","CHINO","CA",91710,"C",0,"N","S",9223,922140,"B","B","","Y","","",NA,"","","",NA,"14901 CENTRAL AVENUE","CHINO","CA",91708,"N088    000015230",190,"2007-03-28","2011-05-11","2007-07-31","2010-03-23","2011-10-14 16:38:47 EDT",2010,8323867,"01002","","3362 D","O","2007-07-31","2007-08-30","X",NA,375,"","",1,4,"",3,NA,"",NA,"",NA,NA,NA,"","",NA,"",NA,"2011-10-14 16:45:21 EDT"
"22",79,119956639,9,950633,NA,"CALIFORNIA STATE OF DEPT OF CORRECTIONS/CIM","14901 CENTRAL AVENUE","CHINO","CA",91710,"C",0,"N","S",9223,922140,"B","B","","Y","","",NA,"","","",NA,"14901 CENTRAL AVENUE","CHINO","CA",91708,"N088    000015230",190,"2007-03-28","2011-05-11","2007-07-31","2010-03-23","2011-10-14 16:38:47 EDT",2010,8323863,"02001","","3706 B","O","2007-07-31","2007-08-30","X",150,6750,"","",1,4,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,"",NA,"2011-10-14 16:45:21 EDT"
"23",80,119956639,9,950633,NA,"CALIFORNIA STATE OF DEPT OF CORRECTIONS/CIM","14901 CENTRAL AVENUE","CHINO","CA",91710,"C",0,"N","S",9223,922140,"B","B","","Y","","",NA,"","","",NA,"14901 CENTRAL AVENUE","CHINO","CA",91708,"N088    000015230",190,"2007-03-28","2011-05-11","2007-07-31","2010-03-23","2011-10-14 16:38:47 EDT",2010,8323864,"01004","","3364 D","O","2007-07-30","2007-08-30","X",NA,185,"","",1,4,"",1,NA,"",NA,"",NA,NA,NA,"","",NA,"",NA,"2011-10-14 16:45:21 EDT"
"24",81,119956639,9,950633,NA,"CALIFORNIA STATE OF DEPT OF CORRECTIONS/CIM","14901 CENTRAL AVENUE","CHINO","CA",91710,"C",0,"N","S",9223,922140,"B","B","","Y","","",NA,"","","",NA,"14901 CENTRAL AVENUE","CHINO","CA",91708,"N088    000015230",190,"2007-03-28","2011-05-11","2007-07-31","2010-03-23","2011-10-14 16:38:47 EDT",2010,8323865,"01003","","3364 B","O","2007-07-31","2007-08-30","X",150,185,"","",1,4,"",1,NA,"",NA,"",NA,NA,NA,"","",NA,"",NA,"2011-10-14 16:45:21 EDT"
"25",82,119956639,9,950633,NA,"CALIFORNIA STATE OF DEPT OF CORRECTIONS/CIM","14901 CENTRAL AVENUE","CHINO","CA",91710,"C",0,"N","S",9223,922140,"B","B","","Y","","",NA,"","","",NA,"14901 CENTRAL AVENUE","CHINO","CA",91708,"N088    000015230",190,"2007-03-28","2011-05-11","2007-07-31","2010-03-23","2011-10-14 16:38:47 EDT",2010,8323866,"01001","","3328 G","O","2007-07-31","2007-08-30","X",NA,375,"","",1,4,"",3,NA,"",NA,"",NA,NA,NA,"","",NA,"",NA,"2011-10-14 16:45:21 EDT"
"26",83,120146022,10,950625,NA,"CA CORRECTIONS AVENAL","1 KINGS WAY","AVENAL","CA",93204,"C",0,"N","S",9223,922140,"A","B","","Y","","",NA,"","","",NA,"P.O. BOX 39","AVENAL","CA",93204,"N068    000022048",1200,"2010-03-04","2014-02-07","2010-03-04","2011-09-06","2014-02-10 01:01:11 EST",2011,8350926,"01001","","3203 A04","O","2010-03-29","2010-04-30","X",300,750,"2010-04-19","2011-06-23",1,70,"A",NA,NA,"",NA,"",NA,NA,NA,"","",NA,"",NA,"2014-02-10 01:01:13 EST"
"27",84,120240510,11,950631,NA,"CALIFORNIA INSTITUTION FOR WOMEN (CIW)","16756 CHINO-CORONA RD ","FRONTERA","CA",91720,"C",0,"N","H",9223,0,"B","B","","Y","","",NA,"","","",NA,"P O  BOX 6000","CORONA","CA",91718,"N085    000012493",600,"2000-01-06","2016-01-22","2000-06-22","2010-09-13","2016-01-27 01:00:25 EST",2010,8361373,"01001","","3362 E","O","2000-07-03","2000-08-05","X",NA,375,"2000-08-18","2001-08-28",1,600,"C",NA,NA,"",NA,"",NA,NA,NA,"","",NA,"",NA,"2016-01-27 01:00:28 EST"
"28",85,120240510,11,950631,NA,"CALIFORNIA INSTITUTION FOR WOMEN (CIW)","16756 CHINO-CORONA RD ","FRONTERA","CA",91720,"C",0,"N","H",9223,0,"B","B","","Y","","",NA,"","","",NA,"P O  BOX 6000","CORONA","CA",91718,"N085    000012493",600,"2000-01-06","2016-01-22","2000-06-22","2010-09-13","2016-01-27 01:00:25 EST",2010,8361374,"01002","","5193 D01","O","2000-07-03","2001-08-05","X",875,875,"2000-08-18","2001-08-28",1,30,"C",NA,NA,"",NA,"",NA,NA,NA,"","",NA,"",NA,"2016-01-27 01:00:28 EST"
"29",86,120318365,12,950643,NA,"LA COUNTY ISD","42220 N.LAKE HUGHES RD.","LAKE HUGHES","CA",93532,"B",NA,"N","S",9223,922140,"A","B","","Y","","",NA,"","","",NA,"1100 NORTH EASTERN AVE.","LOS ANGELES","CA",90063,"N078    000029791",10000,"2004-05-24","2019-03-08","2004-09-02","2019-02-05","2019-03-13 00:21:40 EDT",2019,8376706,"01002","","    3328 A","O","2004-09-02","2004-09-28","X",750,750,"","",1,1,"",NA,NA,"",NA,"",0,NA,NA,"","",NA,"",NA,"2019-03-13 00:27:41 EDT"
"30",87,120318365,12,950643,NA,"LA COUNTY ISD","42220 N.LAKE HUGHES RD.","LAKE HUGHES","CA",93532,"B",NA,"N","S",9223,922140,"A","B","","Y","","",NA,"","","",NA,"1100 NORTH EASTERN AVE.","LOS ANGELES","CA",90063,"N078    000029791",10000,"2004-05-24","2019-03-08","2004-09-02","2019-02-05","2019-03-13 00:21:40 EDT",2019,8376707,"01001","","    3203 A07    C","O","2004-09-02","2004-09-28","X",560,560,"","",1,1,"",NA,NA,"",NA,"",0,NA,NA,"","",NA,"",NA,"2019-03-13 00:27:41 EDT"
"31",102,125473157,19,950615,NA,"COUNTY OF LAKE SHERRIF'S DEPARTMENT","4913 HELBUSH DRIVE","LAKEPORT","CA",95453,"B",0,"N","H",9223,922140,"B","B","","Y","","",NA,"","","",NA,"P.O.BOX 489","LAKEPORT","CA",95453,"N055    000020646",164,"2012-03-06","2012-08-03","2012-05-17","2012-07-21","2012-08-07 03:02:29 EDT",2012,9021649,"01003","","5199 D01","O","2012-05-17","2012-06-19","X",280,280,"","",1,63,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,"",NA,"2012-08-07 03:02:34 EDT"
"32",103,125473157,19,950615,NA,"COUNTY OF LAKE SHERRIF'S DEPARTMENT","4913 HELBUSH DRIVE","LAKEPORT","CA",95453,"B",0,"N","H",9223,922140,"B","B","","Y","","",NA,"","","",NA,"P.O.BOX 489","LAKEPORT","CA",95453,"N055    000020646",164,"2012-03-06","2012-08-03","2012-05-17","2012-07-21","2012-08-07 03:02:29 EDT",2012,9021648,"01004","","5199 E05    D","O","2012-05-17","2012-05-22","I",280,280,"","",1,5,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,"",NA,"2012-08-07 03:02:34 EDT"
"33",104,125473157,19,950615,NA,"COUNTY OF LAKE SHERRIF'S DEPARTMENT","4913 HELBUSH DRIVE","LAKEPORT","CA",95453,"B",0,"N","H",9223,922140,"B","B","","Y","","",NA,"","","",NA,"P.O.BOX 489","LAKEPORT","CA",95453,"N055    000020646",164,"2012-03-06","2012-08-03","2012-05-17","2012-07-21","2012-08-07 03:02:29 EDT",2012,9021650,"01002","","5142 B01","O","2012-05-17","2012-06-19","X",280,280,"","",1,63,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,"",NA,"2012-08-07 03:02:34 EDT"
"34",105,125473157,19,950615,NA,"COUNTY OF LAKE SHERRIF'S DEPARTMENT","4913 HELBUSH DRIVE","LAKEPORT","CA",95453,"B",0,"N","H",9223,922140,"B","B","","Y","","",NA,"","","",NA,"P.O.BOX 489","LAKEPORT","CA",95453,"N055    000020646",164,"2012-03-06","2012-08-03","2012-05-17","2012-07-21","2012-08-07 03:02:29 EDT",2012,9021651,"01005","","5199 I02    A","O","2012-05-17","2012-06-19","X",280,280,"","",1,2,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,"",NA,"2012-08-07 03:02:34 EDT"
"35",106,125473157,19,950615,NA,"COUNTY OF LAKE SHERRIF'S DEPARTMENT","4913 HELBUSH DRIVE","LAKEPORT","CA",95453,"B",0,"N","H",9223,922140,"B","B","","Y","","",NA,"","","",NA,"P.O.BOX 489","LAKEPORT","CA",95453,"N055    000020646",164,"2012-03-06","2012-08-03","2012-05-17","2012-07-21","2012-08-07 03:02:29 EDT",2012,9021652,"01001","","3362 G","O","2012-05-17","2012-06-19","X",185,185,"","",1,5,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,"",NA,"2012-08-07 03:02:34 EDT"
"36",107,125475228,20,950615,NA,"CA PRISON INDUSTRY AUTHORITY","FURNITURE FACTORY SAN QUENTIN","SAN QUENTIN","CA",94964,"C",0,"N","S",9223,922140,"A","B","","Y","X","",NA,"","","",NA,"P O BOX B","SAN QUENTIN","CA",94964,"N055    000018926",314,"2009-02-26","2016-01-06","2009-07-08","2014-01-11","2016-01-09 01:55:33 EST",2014,9021839,"01001","","3203 A07    D","O","2009-07-08","2009-07-13","I",250,560,"2009-07-20","2011-08-02",1,1,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,"",NA,"2016-01-09 01:55:36 EST"
"37",108,125475228,20,950615,NA,"CA PRISON INDUSTRY AUTHORITY","FURNITURE FACTORY SAN QUENTIN","SAN QUENTIN","CA",94964,"C",0,"N","S",9223,922140,"A","B","","Y","X","",NA,"","","",NA,"P O BOX B","SAN QUENTIN","CA",94964,"N055    000018926",314,"2009-02-26","2016-01-06","2009-07-08","2014-01-11","2016-01-09 01:55:33 EST",2014,9021840,"02001","X","3203 A04","S","2009-07-08","2009-07-13","I",NA,5060,"2009-07-20","2011-08-02",1,1,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,"",NA,"2016-01-09 01:55:36 EST"
"38",109,125475228,20,950615,NA,"CA PRISON INDUSTRY AUTHORITY","FURNITURE FACTORY SAN QUENTIN","SAN QUENTIN","CA",94964,"C",0,"N","S",9223,922140,"A","B","","Y","X","",NA,"","","",NA,"P O BOX B","SAN QUENTIN","CA",94964,"N055    000018926",314,"2009-02-26","2016-01-06","2009-07-08","2014-01-11","2016-01-09 01:55:33 EST",2014,9021841,"01002","X","3203 A07    F","O","2009-07-08","2009-07-13","I",NA,560,"2009-07-20","2011-08-02",1,1,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,"",NA,"2016-01-09 01:55:36 EST"
"39",110,125475228,20,950615,NA,"CA PRISON INDUSTRY AUTHORITY","FURNITURE FACTORY SAN QUENTIN","SAN QUENTIN","CA",94964,"C",0,"N","S",9223,922140,"A","B","","Y","X","",NA,"","","",NA,"P O BOX B","SAN QUENTIN","CA",94964,"N055    000018926",314,"2009-02-26","2016-01-06","2009-07-08","2014-01-11","2016-01-09 01:55:33 EST",2014,9021842,"03001","","4002 A","S","2009-07-08","2009-07-13","I",18000,18000,"2009-07-20","2011-08-02",1,1,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,"",NA,"2016-01-09 01:55:36 EST"
"40",111,125475350,21,950615,NA,"CA DEPT OF CORRECTIONS SAN QUENTIN","DENTAL DEPT.","SAN QUENTIN","CA",94974,"C",NA,"N","S",9223,922140,"B","B","","Y","","",NA,"","","",NA,"1 MAIN STREET","SAN QUENTIN","CA",94974,"N055    000019485",1700,"2010-03-08","2018-02-02","2010-06-28","2017-04-25","2018-02-06 18:35:17 EST",2017,9021850,"01001","","    4002 A","O","2010-06-28","2010-07-31","X",245,245,"","",1,NA,"",NA,NA,"",NA,"",0,NA,NA,"","",NA,"",NA,"2018-02-06 18:35:25 EST"
"41",112,125479139,22,950615,NA,"CA DEPT OF CORRECTIONS","SAN QUENTIN RESIDENCE #54","SAN QUENTIN","CA",94964,"C",0,"N","H",9223,922140,"B","B","","Y","","",NA,"","","",NA,"SAN QUENTIN","SAN QUENTIN","CA",94964,"N055    000019373",1000,"2009-12-03","2010-04-22","2010-02-01","2010-04-08","2011-10-14 16:38:47 EDT",2010,9022025,"01004","","15320001 L02    E","O","2010-02-01","2010-02-04","I",NA,600,"","",1,1,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,"",NA,"2011-10-14 16:45:21 EDT"
"42",113,125479139,22,950615,NA,"CA DEPT OF CORRECTIONS","SAN QUENTIN RESIDENCE #54","SAN QUENTIN","CA",94964,"C",0,"N","H",9223,922140,"B","B","","Y","","",NA,"","","",NA,"SAN QUENTIN","SAN QUENTIN","CA",94964,"N055    000019373",1000,"2009-12-03","2010-04-22","2010-02-01","2010-04-08","2011-10-14 16:38:47 EDT",2010,9022026,"01002","","15320001 E02    B","O","2010-02-01","2010-02-04","I",325,600,"","",1,1,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,"",NA,"2011-10-14 16:45:21 EDT"
"43",114,125479139,22,950615,NA,"CA DEPT OF CORRECTIONS","SAN QUENTIN RESIDENCE #54","SAN QUENTIN","CA",94964,"C",0,"N","H",9223,922140,"B","B","","Y","","",NA,"","","",NA,"SAN QUENTIN","SAN QUENTIN","CA",94964,"N055    000019373",1000,"2009-12-03","2010-04-22","2010-02-01","2010-04-08","2011-10-14 16:38:47 EDT",2010,9022027,"01001","","15320001 D01    A","O","2010-02-01","2010-02-04","I",160,600,"","",1,1,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,"",NA,"2011-10-14 16:45:21 EDT"
"44",115,125479139,22,950615,NA,"CA DEPT OF CORRECTIONS","SAN QUENTIN RESIDENCE #54","SAN QUENTIN","CA",94964,"C",0,"N","H",9223,922140,"B","B","","Y","","",NA,"","","",NA,"SAN QUENTIN","SAN QUENTIN","CA",94964,"N055    000019373",1000,"2009-12-03","2010-04-22","2010-02-01","2010-04-08","2011-10-14 16:38:47 EDT",2010,9022028,"01003","","15320001 H01","O","2010-02-01","2010-02-04","I",NA,800,"","",1,1,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,"",NA,"2011-10-14 16:45:21 EDT"
